window_start,window_end,minFDR_PG10,minFDR_BSU168,significant
BSU39880,BSU40080,2.28669643862044e-08,2.69737013789287e-08,Both
BSU35760,BSU36250,2.72445159581472e-06,7.17596569341847e-07,Both
BSU16510,BSU16600,0.000875964895107236,0.000103326658377038,Both
BSU15360,BSU15450,0.0424859644302721,0.0177241758226276,Both
BSU17910,BSU18000,0.00210603866652623,0.00177709348773697,Both
BSU08630,BSU08720,0.294485544145682,0.225865754499456,Neither
BSU31390,BSU31480,0.466750564719398,0.373923207597345,Neither
BSU15990,BSU16080,0.0369344701235672,0.00660779577411818,Both
BSU19200,BSU19390,0.0689526649273209,0.0589406610912011,Neither
BSU30960,BSU31050,5.51272532239831e-06,1.45302692461425e-06,Both
BSU04160,BSU04250,0.163171687615032,0.104798593854876,Neither
BSU24860,BSU24950,0.256436605051744,0.1906580907192,Neither
BSU01640,BSU01730,3.9405674260487e-05,0.000226659540663423,Both
BSU37050,BSU37130,0.00602900144948009,0.00375980457753803,Both
BSU29090,BSU29180,0.00111443949315262,0.00105478292304278,Both
BSU12890,BSU12980,1.26888000459995e-05,4.06736872817931e-06,Both
BSU07880,BSU07980,0.0490744191825077,0.0471923536439685,Both
BSU18490,BSU19090,0.0820605749449704,0.0701544305970655,Neither
BSU13210,BSU13300,0.256266980343133,0.246780186585619,Neither
BSU14260,BSU14350,8.09045651948768e-13,5.6163347294404e-14,Both
BSU30220,BSU30310,1.2316014063272e-06,1.80522416350276e-05,Both
BSU08080,BSU08490,2.42799340420708e-05,7.50857162167922e-06,Both
BSU23980,BSU24070,0.0138003959213471,0.00851438385150394,Both
BSU11640,BSU11820,1.00686597121962e-13,4.48023857813837e-15,Both
BSU03000,BSU03090,0.112199596252362,0.0840476316501805,Neither
BSU19410,BSU21770,0.11069729367356,0.0710107601124829,Neither
BSU05600,BSU05950,6.63016964450607e-06,1.74755940933336e-06,Both
BSU19150,BSU19340,0.136318916734977,0.100564307234477,Neither
BSU40890,BSU40970,0.0266893912704494,0.0132298561854816,Both
BSU03390,BSU03480,0.000312682137345003,0.000192746561401345,Both
BSU37010,BSU37090,0.148215581659866,0.0928269920951695,Neither
BSU35690,BSU35990,3.47092463623412e-15,1.67192529978596e-14,Both
BSU19090,BSU19180,0.551078670514822,0.501557916708204,Neither
BSU11410,BSU11500,1.2915821411399e-07,3.17899040148e-08,Both
BSU13900,BSU14200,9.57117818927722e-05,3.47473352432134e-05,Both
BSU32880,BSU32990,0.409196381992603,0.348306926887678,Neither
BSU22019,BSU22300,0.0506895266492737,0.0354770045393531,BSU168_only
BSU33480,BSU33570,3.08553864492493e-05,8.13850122098196e-06,Both
BSU23970,BSU24060,0.0136760680301638,0.00843767769067958,Both
BSU33820,BSU33910,0.0316123503134586,0.0144675093419982,Both
BSU38310,BSU38430,0.00646505034153198,0.0145322981915611,Both
BSU09560,BSU09660,0.000662886131171407,0.000272415140113901,Both
BSU13420,BSU13509,0.85260164706137,0.708170198815138,Neither
BSU08450,BSU08640,0.00864332077296161,0.00599288281467722,Both
BSU03030,BSU03120,0.112199596252362,0.0840476316501805,Neither
BSU36850,BSU36940,0.000165567401660863,6.42296284656124e-05,Both
BSU01300,BSU01389,5.2242259226831e-05,6.45940028966822e-06,Both
BSU22450,BSU22540,0.000209497032021152,8.60934640926006e-05,Both
BSU14560,BSU14710,7.99818907644076e-06,1.68308569920024e-06,Both
BSU04340,BSU04430,0.0396232131421531,0.0254330627076966,Both
BSU14440,BSU14530,0.288290107881081,0.264828855446903,Neither
BSU28990,BSU29090,0.192824533918599,0.118323714461306,Neither
BSU08780,BSU08870,0.0618710398807312,0.0661091198725634,Neither
BSU31130,BSU31390,0.000372091743440554,0.000152912272045067,Both
BSU06490,BSU06570,2.7185025260225e-08,2.95838456654893e-09,Both
BSU00330,BSU00420,0.00871329260494882,0.00216237800047351,Both
BSU40160,BSU40370,1.27850065058173e-05,1.15536850829441e-05,Both
BSU01030,BSU01120,9.94809078004667e-08,4.52057401673871e-09,Both
BSU40939,BSU41020,0.000245515222545987,8.6601050913855e-05,Both
BSU32210,BSU32300,9.33145849808569e-05,3.93867090218783e-05,Both
BSU21830,BSU21920,0.204785861380815,0.132616487455202,Neither
BSU25540,BSU25620,0.146785073243481,0.11071286340104,Neither
BSU00760,BSU00850,1.81553350754049e-07,2.89708119753378e-08,Both
BSU27870,BSU27960,0.093179276928812,0.0597371565113525,Neither
BSU23720,BSU23810,0.0961299411443038,0.056433632395342,Neither
BSU00160,BSU00250,0.0708162504658971,0.0454002389486279,BSU168_only
BSU22300,BSU22390,0.135573286488784,0.0930597935628757,Neither
BSU21790,BSU21880,0.107326831960689,0.093895592766069,Neither
BSU14170,BSU14260,0.0114637170980502,0.00569386215577691,Both
BSU00820,BSU00910,0.0067478664909909,0.00357613330522736,Both
BSU29480,BSU29570,0.127966206982235,0.199887422609009,Neither
BSU29110,BSU29200,0.0008239119669506,0.000141272065965988,Both
BSU13040,BSU13130,0.0162640884654652,0.00671253588697627,Both
BSU03660,BSU03960,0.000444008635029904,0.000546702297990461,Both
BSU25070,BSU25160,0.0067478664909909,0.00357613330522736,Both
BSU35500,BSU35590,6.67026680915145e-11,7.21823287913796e-12,Both
BSU01480,BSU01570,0.132372842829491,0.0929142515847949,Neither
BSU24510,BSU24600,7.74761396661384e-06,2.04209189405246e-06,Both
BSU01000,BSU01090,6.11603830360253e-06,4.36366356910613e-07,Both
BSU14280,BSU14370,1.92391838245872e-07,3.26001801675031e-08,Both
BSU35520,BSU35620,1.0410859882254e-14,8.20899082261275e-16,Both
BSU36970,BSU37060,0.110883339545286,0.0710872162485094,Neither
BSU00910,BSU01000,0.00774274300114369,0.000970717162231383,Both
BSU15120,BSU15210,5.31076632600761e-08,7.94202112336053e-09,Both
BSU35420,BSU35510,7.51700823456903e-05,0.00123705138800544,Both
BSU09490,BSU09590,0.117405888930303,0.0752688172043041,Neither
BSU27700,BSU27785,0.00122571397839241,0.000503711013795514,Both
BSU31500,BSU31590,0.306406172149398,0.266838439427205,Neither
BSU18830,BSU19110,0.0880378267002213,0.0752644446775925,Neither
BSU25050,BSU25140,0.260689499788786,0.194388959472146,Neither
BSU36720,BSU36810,0.0149561623638818,0.00754561636869516,Both
BSU28630,BSU28910,0.000542984602592927,0.000134603192335599,Both
BSU05100,BSU05180,0.0236315280862602,0.0226128913228605,Both
BSU37450,BSU37540,0.00245547585087032,0.00134833850284385,Both
BSU15830,BSU15920,3.04669069969264e-06,1.60314329267319e-06,Both
BSU07690,BSU07800,0.000509216757873158,0.00142604512408353,Both
BSU13480,BSU13560,0.00622879983783775,0.00257075842479942,Both
BSU23940,BSU24030,0.0894465645586625,0.0542807621074082,Neither
BSU16120,BSU16480,8.6874126715956e-08,1.66705103415458e-05,Both
BSU27320,BSU27410,0.000160445127448692,2.73792125427022e-05,Both
BSU29290,BSU29380,5.90836626232811e-05,2.38521099219332e-05,Both
BSU03520,BSU03620,0.00753789295160329,0.0354575946024199,Both
BSU05530,BSU05620,0.167722698471862,0.214822467567175,Neither
BSU24360,BSU24450,1.5618937018766e-07,1.1581784233729e-07,Both
BSU31150,BSU31410,0.000384599028934354,0.000158052180349103,Both
BSU09910,BSU10000,0.214648218120894,0.192930683556807,Neither
BSU28940,BSU29030,0.022520618448,0.00928144545974754,Both
BSU18130,BSU18220,2.27253158747566e-06,1.1106080381471e-05,Both
BSU39870,BSU40070,1.59853206905749e-05,1.47201234720478e-05,Both
BSU00250,BSU00340,0.0405329854640332,0.0259856630824383,Both
BSU29130,BSU29220,0.00293935617031663,0.000725384199482263,Both
BSU09320,BSU09410,0.326911075729131,0.280180361398565,Neither
BSU08100,BSU08510,7.71843455863985e-05,4.23274676640812e-05,Both
BSU34900,BSU34990,2.1919308045028e-06,3.71655700695617e-07,Both
