GO.ID	Term
GO:0000003	Reproduction
GO:0000015	Phosphopyruvate hydratase complex
GO:0000018	Regulation of DNA recombination
GO:0000023	Maltose metabolic process
GO:0000025	Maltose catabolic process
GO:0000027	Ribosomal large subunit assembly
GO:0000028	Ribosomal small subunit assembly
GO:0000034	Adenine deaminase activity
GO:0000035	Acyl binding
GO:0000036	Acyl carrier activity
GO:0000041	Transition metal ion transport
GO:0000049	tRNA binding
GO:0000050	Urea cycle
GO:0000052	Citrulline metabolic process
GO:0000053	Argininosuccinate metabolic process
GO:0000062	fatty-acyl-CoA binding
GO:0000096	Sulfur amino acid metabolic process
GO:0000097	Sulfur amino acid biosynthetic process
GO:0000098	Sulfur amino acid catabolic process
GO:0000099	Sulfur amino acid transmembrane transporter activity
GO:0000101	Sulfur amino acid transport
GO:0000103	Sulfate assimilation
GO:0000104	Succinate dehydrogenase activity
GO:0000105	Histidine biosynthetic process
GO:0000107	Imidazoleglycerol-phosphate synthase activity
GO:0000122	Negative regulation of transcription by RNA polymerase II
GO:0000150	DNA strand exchange activity
GO:0000154	rRNA modification
GO:0000155	Phosphorelay sensor kinase activity
GO:0000156	Phosphorelay response regulator activity
GO:0000160	Phosphorelay signal transduction system
GO:0000162	Tryptophan biosynthetic process
GO:0000166	Nucleotide binding
GO:0000175	3-5-exoribonuclease activity
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0000255	Allantoin metabolic process
GO:0000256	Allantoin catabolic process
GO:0000270	Peptidoglycan metabolic process
GO:0000271	Polysaccharide biosynthetic process
GO:0000272	Polysaccharide catabolic process
GO:0000286	Alanine dehydrogenase activity
GO:0000287	Magnesium ion binding
GO:0000302	Response to reactive oxygen species
GO:0000303	Response to superoxide
GO:0000305	Response to oxygen radical
GO:0000309	Nicotinamide-nucleotide adenylyltransferase activity
GO:0000310	Xanthine phosphoribosyltransferase activity
GO:0000413	Protein peptidyl-prolyl isomerization
GO:0000428	DNA-directed RNA polymerase complex
GO:0000451	rRNA 2-O-methylation
GO:0000453	Enzyme-directed rRNA 2-O-methylation
GO:0000455	Enzyme-directed rRNA pseudouridine synthesis
GO:0000462	Maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000470	Maturation of LSU-rRNA
GO:0000502	Proteasome complex
GO:0000700	Mismatch base pair DNA N-glycosylase activity
GO:0000701	Purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000702	Oxidized base lesion DNA N-glycosylase activity
GO:0000715	Nucleotide-excision repair, DNA damage recognition
GO:0000716	Transcription-coupled nucleotide-excision repair, DNA damage recognition
GO:0000721	(R,R)-butanediol dehydrogenase activity
GO:0000724	Double-strand break repair via homologous recombination
GO:0000725	Recombinational repair
GO:0000731	DNA synthesis involved in DNA repair
GO:0000774	Adenyl-nucleotide exchange factor activity
GO:0000819	Sister chromatid segregation
GO:0000902	Cell morphogenesis
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity
GO:0000910	Cytokinesis
GO:0000917	Division septum assembly
GO:0000921	Septin ring assembly
GO:0000966	RNA 5-end processing
GO:0000967	rRNA 5-end processing
GO:0000976	Transcription cis-regulatory region binding
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0001046	Core promoter sequence-specific DNA binding
GO:0001067	Transcription regulatory region nucleic acid binding
GO:0001072	Transcription antitermination factor activity, RNA binding
GO:0001101	Response to acid chemical
GO:0001216	DNA-binding transcription activator activity
GO:0001217	DNA-binding transcription repressor activity
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0001510	RNA methylation
GO:0001522	Pseudouridine synthesis
GO:0001539	Cilium or flagellum-dependent cell motility
GO:0001676	Long-chain fatty acid metabolic process
GO:0001678	Cellular glucose homeostasis
GO:0001680	tRNA 3-terminal CCA addition
GO:0001682	tRNA 5-leader removal
GO:0001716	L-amino-acid oxidase activity
GO:0001882	Nucleoside binding
GO:0001906	Cell killing
GO:0001932	Regulation of protein phosphorylation
GO:0001934	Positive regulation of protein phosphorylation
GO:0002094	Polyprenyltransferase activity
GO:0002097	tRNA wobble base modification
GO:0002098	tRNA wobble uridine modification
GO:0002099	tRNA wobble guanine modification
GO:0002100	tRNA wobble adenosine to inosine editing
GO:0002128	tRNA nucleoside ribose methylation
GO:0002130	Wobble position ribose methylation
GO:0002131	Wobble position cytosine ribose methylation
GO:0002132	Wobble position uridine ribose methylation
GO:0002143	tRNA wobble position uridine thiolation
GO:0002161	aminoacyl-tRNA editing activity
GO:0002181	Cytoplasmic translation
GO:0002184	Cytoplasmic translational termination
GO:0002189	Ribose phosphate diphosphokinase complex
GO:0002237	Response to molecule of bacterial origin
GO:0002935	tRNA (adenine-C2-)-methyltransferase activity
GO:0002937	tRNA 4-thiouridine biosynthesis
GO:0002939	tRNA N1-guanine methylation
GO:0002943	tRNA dihydrouridine synthesis
GO:0002946	tRNA C5-cytosine methylation
GO:0002949	tRNA threonylcarbamoyladenosine modification
GO:0003333	Amino acid transmembrane transport
GO:0003676	Nucleic acid binding
GO:0003677	DNA binding
GO:0003678	DNA helicase activity
GO:0003684	Damaged DNA binding
GO:0003688	DNA replication origin binding
GO:0003690	Double-stranded DNA binding
GO:0003697	Single-stranded DNA binding
GO:0003700	DNA-binding transcription factor activity
GO:0003712	Transcription coregulator activity
GO:0003714	Transcription corepressor activity
GO:0003723	RNA binding
GO:0003724	RNA helicase activity
GO:0003725	Double-stranded RNA binding
GO:0003727	Single-stranded RNA binding
GO:0003729	mRNA binding
GO:0003730	mRNA 3-UTR binding
GO:0003735	Structural constituent of ribosome
GO:0003743	Translation initiation factor activity
GO:0003746	Translation elongation factor activity
GO:0003747	Translation release factor activity
GO:0003755	Peptidyl-prolyl cis-trans isomerase activity
GO:0003774	Cytoskeletal motor activity
GO:0003796	Lysozyme activity
GO:0003810	Protein-glutamine gamma-glutamyltransferase activity
GO:0003824	Catalytic activity
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity
GO:0003844	1,4-alpha-glucan branching enzyme activity
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity
GO:0003852	2-isopropylmalate synthase activity
GO:0003855	3-dehydroquinate dehydratase activity
GO:0003856	3-dehydroquinate synthase activity
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity
GO:0003858	3-hydroxybutyrate dehydrogenase activity
GO:0003861	3-isopropylmalate dehydratase activity
