set,GO.ID,Term,pvalue,FDR
A full (n=9),GO:0009653,Anatomical structure morphogenesis,0.000113476637217277,0.010485215249933
A full (n=9),GO:0048856,Anatomical structure development,0.000113476637217277,0.010485215249933
A full (n=9),GO:0032502,Developmental process,0.000162142503864943,0.010485215249933
A full (n=9),GO:0008610,Lipid biosynthetic process,0.000600650310961385,0.021958121109224
A full (n=9),GO:0044255,Cellular lipid metabolic process,0.00135777258935241,0.021958121109224
A full (n=9),GO:0030435,Sporulation resulting in formation of a cellular spore,0.00158053097593706,0.021958121109224
A full (n=9),GO:0048646,Anatomical structure formation involved in morphogenesis,0.00158053097593706,0.021958121109224
A full (n=9),GO:0043934,Sporulation,0.00164824379620687,0.021958121109224
A full (n=9),GO:0008654,Phospholipid biosynthetic process,0.00185110905541819,0.021958121109224
A full (n=9),GO:0071840,Cellular component organization or biogenesis,0.00193984433956404,0.021958121109224
B −BSU00430 (n=8),GO:0008610,Lipid biosynthetic process,0.000406312230010801,0.0264891619730297
B −BSU00430 (n=8),GO:0044255,Cellular lipid metabolic process,0.00092295626935117,0.0264891619730297
B −BSU00430 (n=8),GO:0009653,Anatomical structure morphogenesis,0.000991832398498137,0.0264891619730297
B −BSU00430 (n=8),GO:0048856,Anatomical structure development,0.000991832398498137,0.0264891619730297
B −BSU00430 (n=8),GO:0071840,Cellular component organization or biogenesis,0.00113767781181544,0.0264891619730297
B −BSU00430 (n=8),GO:0032502,Developmental process,0.00131524151367172,0.0264891619730297
B −BSU00430 (n=8),GO:0006629,Lipid metabolic process,0.00139861629922904,0.0264891619730297
B −BSU00430 (n=8),GO:0008654,Phospholipid biosynthetic process,0.00144642047113753,0.0264891619730297
B −BSU00430 (n=8),GO:0006644,Phospholipid metabolic process,0.00154137063576425,0.0264891619730297
B −BSU00430 (n=8),GO:0006141,Regulation of purine nucleobase metabolic process,0.00191158900836297,0.0264891619730297
C −BSU00500 (n=8),GO:0030435,Sporulation resulting in formation of a cellular spore,0.000924199492667973,0.0216156603253351
C −BSU00500 (n=8),GO:0048646,Anatomical structure formation involved in morphogenesis,0.000924199492667973,0.0216156603253351
C −BSU00500 (n=8),GO:0043934,Sporulation,0.000964366065972571,0.0216156603253351
C −BSU00500 (n=8),GO:0009653,Anatomical structure morphogenesis,0.000991832398498137,0.0216156603253351
C −BSU00500 (n=8),GO:0048856,Anatomical structure development,0.000991832398498137,0.0216156603253351
C −BSU00500 (n=8),GO:0030154,Cell differentiation,0.0011842802207948,0.0216156603253351
C −BSU00500 (n=8),GO:0048869,Cellular developmental process,0.0011842802207948,0.0216156603253351
C −BSU00500 (n=8),GO:0032502,Developmental process,0.00131524151367172,0.0216156603253351
C −BSU00500 (n=8),GO:0006141,Regulation of purine nucleobase metabolic process,0.00191158900836297,0.0216156603253351
C −BSU00500 (n=8),GO:0045982,Negative regulation of purine nucleobase metabolic process,0.00191158900836297,0.0216156603253351
D −BSU00430 +BSU00510 (n=9),GO:0008610,Lipid biosynthetic process,0.000600650310961385,0.033565810822757
D −BSU00430 +BSU00510 (n=9),GO:0044255,Cellular lipid metabolic process,0.00135777258935241,0.033565810822757
D −BSU00430 +BSU00510 (n=9),GO:0009653,Anatomical structure morphogenesis,0.00169451700752283,0.033565810822757
D −BSU00430 +BSU00510 (n=9),GO:0048856,Anatomical structure development,0.00169451700752283,0.033565810822757
D −BSU00430 +BSU00510 (n=9),GO:0008654,Phospholipid biosynthetic process,0.00185110905541819,0.033565810822757
D −BSU00430 +BSU00510 (n=9),GO:0071840,Cellular component organization or biogenesis,0.00193984433956404,0.033565810822757
D −BSU00430 +BSU00510 (n=9),GO:0006644,Phospholipid metabolic process,0.00197231104571756,0.033565810822757
D −BSU00430 +BSU00510 (n=9),GO:0006629,Lipid metabolic process,0.00205121334250723,0.033565810822757
D −BSU00430 +BSU00510 (n=9),GO:0006141,Regulation of purine nucleobase metabolic process,0.00215053763440853,0.033565810822757
D −BSU00430 +BSU00510 (n=9),GO:0045982,Negative regulation of purine nucleobase metabolic process,0.00215053763440853,0.033565810822757
