IDpg10	IDbsub	BiolProc	MolFun	CellComp
ANY33920.1	BSU00010	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006270 GO:0006275 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0019219 GO:0019222 GO:0031323 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0050789 GO:0050794 GO:0051052 GO:0051171 GO:0060255 GO:0065007 GO:0071704 GO:0080090 GO:0090304 GO:1901360	GO:0000166 GO:0003676 GO:0003677 GO:0003688 GO:0003690 GO:0005488 GO:0005515 GO:0005524 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0042802 GO:0043167 GO:0043168 GO:0043565 GO:0097159 GO:0097367 GO:1901265 GO:1901363 GO:1990837	GO:0005622 GO:0005737 GO:0005886 GO:0016020 GO:0071944 GO:0110165
ANY33921.1	BSU00020	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006271 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0018130 GO:0019438 GO:0022616 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0071704 GO:0071897 GO:0090304 GO:0090305 GO:1901360 GO:1901362 GO:1901576	GO:0003676 GO:0003677 GO:0003824 GO:0003887 GO:0004518 GO:0004527 GO:0005488 GO:0008408 GO:0016740 GO:0016772 GO:0016779 GO:0016787 GO:0016788 GO:0034061 GO:0097159 GO:0140097 GO:0140640 GO:1901363	GO:0005622 GO:0005737 GO:0009360 GO:0032991 GO:0042575 GO:0061695 GO:0110165 GO:0140535 GO:1902494 GO:1990234
ANY33922.1	BSU00030	GO:0009987 GO:0022613 GO:0042254 GO:0044085 GO:0071840	GO:0003676 GO:0003723 GO:0005488 GO:0097159 GO:1901363	
ANY33923.1	BSU00040	GO:0000731 GO:0006139 GO:0006259 GO:0006260 GO:0006281 GO:0006302 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0007154 GO:0008152 GO:0009058 GO:0009059 GO:0009432 GO:0009605 GO:0009987 GO:0009991 GO:0018130 GO:0019438 GO:0031668 GO:0033554 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0050896 GO:0051716 GO:0071496 GO:0071704 GO:0071897 GO:0090304 GO:1901360 GO:1901362 GO:1901576	GO:0000166 GO:0003676 GO:0003677 GO:0003697 GO:0005488 GO:0005524 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0009295 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0043590 GO:0110165
ANY33924.1	BSU00050			
ANY33925.1	BSU00060	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006265 GO:0006725 GO:0006807 GO:0006996 GO:0008152 GO:0009987 GO:0016043 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0051276 GO:0071103 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0000166 GO:0003676 GO:0003677 GO:0003824 GO:0003916 GO:0003918 GO:0005488 GO:0005524 GO:0008094 GO:0016853 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:0140097 GO:0140640 GO:0140657 GO:1901265 GO:1901363	GO:0005622 GO:0005694 GO:0005737 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0110165
ANY33926.1	BSU00070	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006265 GO:0006725 GO:0006807 GO:0006996 GO:0008152 GO:0009987 GO:0016043 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0051276 GO:0071103 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0000166 GO:0003676 GO:0003677 GO:0003824 GO:0003916 GO:0003918 GO:0005488 GO:0005524 GO:0008094 GO:0016853 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0034335 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140097 GO:0140640 GO:0140657 GO:1901265 GO:1901363	GO:0005622 GO:0005694 GO:0005737 GO:0009330 GO:0032991 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0110165
ANY33927.1	BSU00080			
ANY33928.1	BSU00090	GO:0006139 GO:0006163 GO:0006164 GO:0006177 GO:0006183 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009124 GO:0009126 GO:0009127 GO:0009141 GO:0009142 GO:0009144 GO:0009145 GO:0009150 GO:0009152 GO:0009156 GO:0009161 GO:0009165 GO:0009167 GO:0009168 GO:0009199 GO:0009201 GO:0009205 GO:0009206 GO:0009259 GO:0009260 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046037 GO:0046039 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072521 GO:0072522 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0003938 GO:0005488 GO:0016491 GO:0016614 GO:0016616 GO:0036094 GO:0043167 GO:0043169 GO:0046872 GO:0097159 GO:1901265 GO:1901363	
ANY33929.1	BSU00100	GO:0000270 GO:0006022 GO:0006023 GO:0006024 GO:0006508 GO:0006807 GO:0008152 GO:0008360 GO:0009058 GO:0009059 GO:0009252 GO:0009273 GO:0009987 GO:0016043 GO:0019538 GO:0022603 GO:0022604 GO:0030203 GO:0034645 GO:0042546 GO:0043170 GO:0044036 GO:0044038 GO:0044085 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0045229 GO:0050789 GO:0050793 GO:0065007 GO:0070589 GO:0071554 GO:0071555 GO:0071704 GO:0071840 GO:1901135 GO:1901137 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004180 GO:0004185 GO:0008233 GO:0008236 GO:0008238 GO:0009002 GO:0016787 GO:0017171 GO:0070008 GO:0140096	GO:0005576 GO:0005886 GO:0016020 GO:0045121 GO:0071944 GO:0098857 GO:0110165
